Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Location / Emplacement de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility Postal Code / Code postal de l'installation,Latitude,Longitude,Facility NPRI ID / Numéro d'identification de l'INRP,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,French Facility NAICS Code Description / Description du code SCIAN de l'installation en français,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Reporting Company Trade Name / Nom commercial de la société déclarante,Reporting Company CRA Business Number / Numéro d'entreprise ARC de la société déclarante,Reporting Company DUNS Number / Numéro DUNS de la société déclarante,Public Contact Name / Nom du responsable des renseignements au public,Public Contact Position / Poste ou Titre du responsable des renseignements au public,Public Contact Telephone / Numéro de téléphone du responsable des renseignements au public,Public Contact Extension / Poste téléphonique du responsable des renseignements au public,Public Contact Email / Adresse électronique du responsable des renseignements au public,Public Contact Mailing Address / Adresse postale du responsable des renseignements au public,Public Contact City or District or Municipality / Ville ou District ou Municipalité du responsable des renseignements au public,Public Contact Province or Territory / Province ou Territoire du responsable des renseignements au public,Public Contact Postal Code / Code postal du responsable des renseignement au public,Emission Source / Source d'emission,CO2 (tonnes),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),HFC-23 (tonnes),HFC-23 (tonnes CO2e / tonnes éq. CO2),HFC-32 (tonnes),HFC-32 (tonnes CO2e / tonnes éq. CO2),HFC-41 (tonnes),HFC-41 (tonnes CO2e / tonnes éq. CO2),HFC-43-10mee (tonnes),HFC-43-10mee (tonnes CO2e / tonnes éq. CO2),HFC-125 (tonnes),HFC-125 (tonnes CO2e / tonnes éq. CO2),HFC-134 (tonnes),HFC-134 (tonnes CO2e / tonnes éq. CO2),HFC-134a (tonnes),HFC-134a (tonnes CO2e / tonnes éq. CO2),HFC-143 (tonnes),HFC-143 (tonnes CO2e / tonnes éq. CO2),HFC-143a (tonnes),HFC-143a (tonnes CO2e / tonnes éq. CO2),HFC-152a (tonnes),HFC-152a (tonnes CO2e / tonnes éq. CO2),HFC-227ea (tonnes),HFC-227ea (tonnes CO2e / tonnes éq. CO2),HFC-236fa (tonnes),HFC-236fa (tonnes CO2e / tonnes éq. CO2),HFC-245ca (tonnes),HFC-245ca (tonnes CO2e / tonnes éq. CO2),HFC Total (tonnes CO2e / tonnes éq. CO2),CF4 (tonnes),CF4 (tonnes CO2e / tonnes éq. CO2),C2F6 (tonnes),C2F6 (tonnes CO2e / tonnes éq. CO2),C3F8 (tonnes),C3F8 (tonnes CO2e / tonnes éq. CO2),C4F10 (tonnes),C4F10 (tonnes CO2e / tonnes éq. CO2),C4F8 (tonnes),C4F8 (tonnes CO2e / tonnes éq. CO2),C5F12 (tonnes),C5F12 (tonnes CO2e / tonnes éq. CO2),C6F14 (tonnes),C6F14 (tonnes CO2e / tonnes éq. CO2),PFC Total (tonnes CO2e / tonnes éq. CO2),SF6 (tonnes),SF6 (tonnes CO2e / tonnes éq. CO2),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2),GHGRP Quantification Requirements / Exigences de quantification du PDGES,Emission Factors / Coefficients d'émission,Engineering Estimates / Estimations techniques,Mass Balance / Bilan massique,Monitoring or Direct Measurement / Surveillance ou mesure directe
G10957,2023,CIPA Lumber Co. Ltd.,797 Carlisle Road,"Annacis Island, Delta",British Columbia,V3M 5P4,49.176,-122.944,7822,321212,Softwood Veneer and Plywood Mills,Usines de placages et de contreplaqués de résineux,CIPA Lumber Co. Ltd.,CIPA Lumber Co. Ltd.,100972835,245355201,,,,,,,,,,On-site Transportation / Transport sur le site,788.5089,0.03184,0.89152,0.10103,26.77295,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,816.17337,29031.26017,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10958,2023,Burrard Products Terminal,1155 Glenayre Drive,Port Moody,British Columbia,V3H 3E1,49.283,-122.85,3905,412110,Petroleum Product Wholesaler-Distributors,Grossistes-distributeurs de produits pétroliers,Suncor Energy Inc.,Suncor Energy,104168083,241804681,John Elliott,Senior Advisor Environment,6049333063,,jmelliott@suncor.com,1155 Glenayre Drive,Port Moody,British Columbia,V3H 3E1,Flaring / Torchage,3019.1118,9.1104,255.0912,0.0302,8.003,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,3282.206,12367.408,Not applicable / Sans Objet,Applicable,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10958,2023,Burrard Products Terminal,1155 Glenayre Drive,Port Moody,British Columbia,V3H 3E1,49.283,-122.85,3905,412110,Petroleum Product Wholesaler-Distributors,Grossistes-distributeurs de produits pétroliers,Suncor Energy Inc.,Suncor Energy,104168083,241804681,John Elliott,Senior Advisor Environment,6049333063,,jmelliott@suncor.com,1155 Glenayre Drive,Port Moody,British Columbia,V3H 3E1,Stationary Fuel Combustion / Combustion stationnaire de combustibles,8692.7692,0.1654,4.6312,0.156,41.34,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,8738.7404,12367.408,Not applicable / Sans Objet,Applicable,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10958,2023,Burrard Products Terminal,1155 Glenayre Drive,Port Moody,British Columbia,V3H 3E1,49.283,-122.85,3905,412110,Petroleum Product Wholesaler-Distributors,Grossistes-distributeurs de produits pétroliers,Suncor Energy Inc.,Suncor Energy,104168083,241804681,John Elliott,Senior Advisor Environment,6049333063,,jmelliott@suncor.com,1155 Glenayre Drive,Port Moody,British Columbia,V3H 3E1,On-site Transportation / Transport sur le site,334.5919,0.2034,5.6952,0.0233,6.1745,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,346.4616,12367.408,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10959,2023,Murray River Comp Stn C-033-J,,,British Columbia,,54.948,-121.159,16066,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Canadian Natural Resources Limited,Canadian Natural Resources Limited,121346357,209137967,Paul Dunn,"Manager, GHG Reporting and Policy",5879550250,,pj.dunn@cnrl.com,855 2nd Street Southwest,Calgary,Alberta,T2P 4J8,Flaring / Torchage,882.65798,6.33797,177.46316,0.00172,0.4558,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,1060.57694,25080.47174,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10959,2023,Murray River Comp Stn C-033-J,,,British Columbia,,54.948,-121.159,16066,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Canadian Natural Resources Limited,Canadian Natural Resources Limited,121346357,209137967,Paul Dunn,"Manager, GHG Reporting and Policy",5879550250,,pj.dunn@cnrl.com,855 2nd Street Southwest,Calgary,Alberta,T2P 4J8,Leakage / Fuites,0.14102,0.84601,23.68828,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,23.8293,25080.47174,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10959,2023,Murray River Comp Stn C-033-J,,,British Columbia,,54.948,-121.159,16066,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Canadian Natural Resources Limited,Canadian Natural Resources Limited,121346357,209137967,Paul Dunn,"Manager, GHG Reporting and Policy",5879550250,,pj.dunn@cnrl.com,855 2nd Street Southwest,Calgary,Alberta,T2P 4J8,Stationary Fuel Combustion / Combustion stationnaire de combustibles,21804.75448,71.97209,2015.21852,0.6645,176.0925,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,23996.0655,25080.47174,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10962,2023,Fort McMurray Class 1 Composting Facility,,Fort McMurray,Alberta,,56.64483,-111.37049,0,562210,Waste Treatment and Disposal,Traitement et élimination des déchets,Regional Municipality of Wood Buffalo,,106930175,0,Sam Rageh,E&R Manager,5879195029,,sam.rageh@rmwb.ca,999 Franklin Avenue,Fort McMurray,Alberta,T9H 2K4,On-site Transportation / Transport sur le site,39,0.005,0.14,0.003,0.795,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,39.935,3267.435,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10962,2023,Fort McMurray Class 1 Composting Facility,,Fort McMurray,Alberta,,56.64483,-111.37049,0,562210,Waste Treatment and Disposal,Traitement et élimination des déchets,Regional Municipality of Wood Buffalo,,106930175,0,Sam Rageh,E&R Manager,5879195029,,sam.rageh@rmwb.ca,999 Franklin Avenue,Fort McMurray,Alberta,T9H 2K4,Waste / Déchets,0,67,1876,5.1,1351.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,3227.5,3267.435,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10963,2023,Wroe 08-12-057-25W5 Compressor,,Wroe,Alberta,,53.91437228,-117.5737092,19544,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Tourmaline Oil Corp,,835610825,835610825,Jason Rausch,Air Emissions EIT,4033582369,,jason@processecology.com,,Calgary,Alberta,T3L 2Y1,Flaring / Torchage,146.148,0.6942,19.4376,0.0021,0.5565,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,166.1421,43838.7695,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10963,2023,Wroe 08-12-057-25W5 Compressor,,Wroe,Alberta,,53.91437228,-117.5737092,19544,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Tourmaline Oil Corp,,835610825,835610825,Jason Rausch,Air Emissions EIT,4033582369,,jason@processecology.com,,Calgary,Alberta,T3L 2Y1,Leakage / Fuites,2.2091,60.5096,1694.2688,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,1696.4779,43838.7695,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Applicable
G10963,2023,Wroe 08-12-057-25W5 Compressor,,Wroe,Alberta,,53.91437228,-117.5737092,19544,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Tourmaline Oil Corp,,835610825,835610825,Jason Rausch,Air Emissions EIT,4033582369,,jason@processecology.com,,Calgary,Alberta,T3L 2Y1,Stationary Fuel Combustion / Combustion stationnaire de combustibles,38573.7633,103.8512,2907.8336,0.9644,255.566,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,41737.1629,43838.7695,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10963,2023,Wroe 08-12-057-25W5 Compressor,,Wroe,Alberta,,53.91437228,-117.5737092,19544,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Tourmaline Oil Corp,,835610825,835610825,Jason Rausch,Air Emissions EIT,4033582369,,jason@processecology.com,,Calgary,Alberta,T3L 2Y1,Venting / Évacuation,0.3006,8.5245,238.686,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,238.9866,43838.7695,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10964,2023,Laprise Main Battery (D-030-E/094-H-05),0,Peace River,British Columbia,,57.36042,-121.99062,0,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Canlin Energy Corporation,,832265318,203740738,Jack Lee,"VP Health, Safety & Envrionment",4033519388,,jack.lee@canlinenergy.com,237 4 Avenue Southwest,Calgary,Alberta,T2P 4K3,Flaring / Torchage,1.188432,0.135066,3.781848,0.000058,0.01537,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,4.98565,17968.72784,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10964,2023,Laprise Main Battery (D-030-E/094-H-05),0,Peace River,British Columbia,,57.36042,-121.99062,0,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Canlin Energy Corporation,,832265318,203740738,Jack Lee,"VP Health, Safety & Envrionment",4033519388,,jack.lee@canlinenergy.com,237 4 Avenue Southwest,Calgary,Alberta,T2P 4K3,Leakage / Fuites,12.867647,169.860334,4756.089352,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,4768.956999,17968.72784,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Applicable
G10964,2023,Laprise Main Battery (D-030-E/094-H-05),0,Peace River,British Columbia,,57.36042,-121.99062,0,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Canlin Energy Corporation,,832265318,203740738,Jack Lee,"VP Health, Safety & Envrionment",4033519388,,jack.lee@canlinenergy.com,237 4 Avenue Southwest,Calgary,Alberta,T2P 4K3,Stationary Fuel Combustion / Combustion stationnaire de combustibles,11530.72871,36.641065,1025.94982,0.338348,89.66222,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,12646.34075,17968.72784,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10964,2023,Laprise Main Battery (D-030-E/094-H-05),0,Peace River,British Columbia,,57.36042,-121.99062,0,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Canlin Energy Corporation,,832265318,203740738,Jack Lee,"VP Health, Safety & Envrionment",4033519388,,jack.lee@canlinenergy.com,237 4 Avenue Southwest,Calgary,Alberta,T2P 4K3,Venting / Évacuation,1.479818,19.534451,546.964628,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,548.444446,17968.72784,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10968,2023,Septimus Sweet Gas Plant 12-27,,,British Columbia,,56.054,-120.74,23471,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Crew Energy Inc.,Crew Energy Inc.,880442306,123456789,Tyler Brown,"Manager, Reserves and Business Development",4032313284,,tyler.brown@crewenergy.com,250 5th Street Southwest,Calgary,Alberta,T2P 0R4,Flaring / Torchage,402.29015,1.90852,53.43856,0.00074,0.1961,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,455.92481,38311.83975,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10968,2023,Septimus Sweet Gas Plant 12-27,,,British Columbia,,56.054,-120.74,23471,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Crew Energy Inc.,Crew Energy Inc.,880442306,123456789,Tyler Brown,"Manager, Reserves and Business Development",4032313284,,tyler.brown@crewenergy.com,250 5th Street Southwest,Calgary,Alberta,T2P 0R4,Leakage / Fuites,0.01507,5.45879,152.84612,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,152.86119,38311.83975,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable
G10968,2023,Septimus Sweet Gas Plant 12-27,,,British Columbia,,56.054,-120.74,23471,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Crew Energy Inc.,Crew Energy Inc.,880442306,123456789,Tyler Brown,"Manager, Reserves and Business Development",4032313284,,tyler.brown@crewenergy.com,250 5th Street Southwest,Calgary,Alberta,T2P 0R4,Stationary Fuel Combustion / Combustion stationnaire de combustibles,33719.35749,110.59358,3096.62024,1.02108,270.5862,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,37086.56393,38311.83975,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10968,2023,Septimus Sweet Gas Plant 12-27,,,British Columbia,,56.054,-120.74,23471,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Crew Energy Inc.,Crew Energy Inc.,880442306,123456789,Tyler Brown,"Manager, Reserves and Business Development",4032313284,,tyler.brown@crewenergy.com,250 5th Street Southwest,Calgary,Alberta,T2P 0R4,Venting / Évacuation,0.08102,22.0146,616.4088,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,616.48982,38311.83975,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10974,2023,Doe 01-32-80-15W6 Compressor,,Dawson Creek,British Columbia,,55.97255,-120.29903,25050,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Tourmaline Oil Corp,,835610825,835610825,Jason Rausch,Air Emissions EIT,4033582369,,jason@processecology.com,,Calgary,Alberta,T3L 2Y1,Flaring / Torchage,13.823187,0.066411,1.859508,0.000026,0.00689,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,15.689585,36287.40378,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10974,2023,Doe 01-32-80-15W6 Compressor,,Dawson Creek,British Columbia,,55.97255,-120.29903,25050,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Tourmaline Oil Corp,,835610825,835610825,Jason Rausch,Air Emissions EIT,4033582369,,jason@processecology.com,,Calgary,Alberta,T3L 2Y1,Leakage / Fuites,0.267022,46.337107,1297.438996,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,1297.706018,36287.40378,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10974,2023,Doe 01-32-80-15W6 Compressor,,Dawson Creek,British Columbia,,55.97255,-120.29903,25050,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Tourmaline Oil Corp,,835610825,835610825,Jason Rausch,Air Emissions EIT,4033582369,,jason@processecology.com,,Calgary,Alberta,T3L 2Y1,Stationary Fuel Combustion / Combustion stationnaire de combustibles,31779.19272,104.926498,2937.941944,0.969334,256.87351,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,34974.00817,36287.40378,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10975,2023,Navan Landfill,3354 Navan Road,Ottawa,Ontario,K4B 1H9,45.4244,-75.5002,10967,562210,Waste Treatment and Disposal,Traitement et élimination des déchets,Waste Connections of Canada Inc.,Waste Connections of Canada Inc.,866808298,0,Chris Visser,Region Engineering Manager,6475395923,,chris.visser@wasteconnections.com,6220 Highway 7,Woodbridge,Ontario,L4G 4H3,Stationary Fuel Combustion / Combustion stationnaire de combustibles,58.277,0.0014,0.0392,0.0011,0.2915,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,58.6077,34812.0472,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10975,2023,Navan Landfill,3354 Navan Road,Ottawa,Ontario,K4B 1H9,45.4244,-75.5002,10967,562210,Waste Treatment and Disposal,Traitement et élimination des déchets,Waste Connections of Canada Inc.,Waste Connections of Canada Inc.,866808298,0,Chris Visser,Region Engineering Manager,6475395923,,chris.visser@wasteconnections.com,6220 Highway 7,Woodbridge,Ontario,L4G 4H3,On-site Transportation / Transport sur le site,1182.329,0.0372,1.0416,0.00886,2.3479,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,1185.7185,34812.0472,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10975,2023,Navan Landfill,3354 Navan Road,Ottawa,Ontario,K4B 1H9,45.4244,-75.5002,10967,562210,Waste Treatment and Disposal,Traitement et élimination des déchets,Waste Connections of Canada Inc.,Waste Connections of Canada Inc.,866808298,0,Chris Visser,Region Engineering Manager,6475395923,,chris.visser@wasteconnections.com,6220 Highway 7,Woodbridge,Ontario,L4G 4H3,Waste / Déchets,0,1198.762,33565.336,0.009,2.385,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,33567.721,34812.0472,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10976,2023,West Pembina Battery and Compressor,,Township 050,Alberta,,53.2904,-115.8319,18170,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Vermilion Energy Inc.,,801424250,203067660,Randy McQuaig,"VP, North America",4034768402,,rmcquaig@vermilionenergy.com,850 2 Street Southwest,Calgary,Alberta,T2P 0R8,Flaring / Torchage,156.7047,0.7454,20.8712,0.00027,0.07155,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,177.64745,13987.63374,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10976,2023,West Pembina Battery and Compressor,,Township 050,Alberta,,53.2904,-115.8319,18170,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Vermilion Energy Inc.,,801424250,203067660,Randy McQuaig,"VP, North America",4034768402,,rmcquaig@vermilionenergy.com,850 2 Street Southwest,Calgary,Alberta,T2P 0R8,Stationary Fuel Combustion / Combustion stationnaire de combustibles,12577.107,34.54656,967.30368,0.32387,85.82555,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,13630.23623,13987.63374,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10976,2023,West Pembina Battery and Compressor,,Township 050,Alberta,,53.2904,-115.8319,18170,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Vermilion Energy Inc.,,801424250,203067660,Randy McQuaig,"VP, North America",4034768402,,rmcquaig@vermilionenergy.com,850 2 Street Southwest,Calgary,Alberta,T2P 0R8,Venting / Évacuation,0.1113,6.41567,179.63876,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,179.75006,13987.63374,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10977,2023,Granada Gas Plant,,Township 052,Alberta,,53.4848,-115.6076,18168,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Vermilion Energy Inc.,,801424250,203067660,Randy McQuaig,"VP, North America",4034768402,,rmcquaig@vermilionenergy.com,850 2 Street Southwest,Calgary,Alberta,T2P 0R8,Flaring / Torchage,57.6283,0.42296,11.84288,0.00012,0.0318,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,69.50298,13594.31342,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10977,2023,Granada Gas Plant,,Township 052,Alberta,,53.4848,-115.6076,18168,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Vermilion Energy Inc.,,801424250,203067660,Randy McQuaig,"VP, North America",4034768402,,rmcquaig@vermilionenergy.com,850 2 Street Southwest,Calgary,Alberta,T2P 0R8,Stationary Fuel Combustion / Combustion stationnaire de combustibles,12035.382,33.05856,925.63968,0.30992,82.1288,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,13043.15048,13594.31342,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10977,2023,Granada Gas Plant,,Township 052,Alberta,,53.4848,-115.6076,18168,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Vermilion Energy Inc.,,801424250,203067660,Randy McQuaig,"VP, North America",4034768402,,rmcquaig@vermilionenergy.com,850 2 Street Southwest,Calgary,Alberta,T2P 0R8,Venting / Évacuation,0.29824,17.19149,481.36172,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,481.65996,13594.31342,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10978,2023,Wapiti Compressor Station 07-22,,Wapiti,Alberta,,54.9038,-119.1334,0,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Sinopec Canada,,857470439,0,,,,,,,,,,Flaring / Torchage,1194.72,5.67492,158.89776,0.01729,4.58185,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,1358.19961,27588.37765,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10978,2023,Wapiti Compressor Station 07-22,,Wapiti,Alberta,,54.9038,-119.1334,0,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Sinopec Canada,,857470439,0,,,,,,,,,,Stationary Fuel Combustion / Combustion stationnaire de combustibles,20322.0834,146.86808,4112.30624,6.77656,1795.7884,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,26230.17804,27588.37765,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10979,2023,Eta Lake Gas Plant,,Township 051,Alberta,,53.3851,-115.6128,18169,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Vermilion Energy Inc.,,801424250,203067660,Randy McQuaig,"VP, North America",4034768402,,rmcquaig@vermilionenergy.com,850 2 Street Southwest,Calgary,Alberta,T2P 0R8,Flaring / Torchage,19.8271,0.14552,4.07456,0.00004,0.0106,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,23.91226,14864.79419,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
